id,tname,tauthor,tname_id,n,nwoa,ndepth,ndate,ntaxa,minlat,maxlat,minlon,maxlon,minbotdepth,maxbotdepth,mindepth,maxdepth,mindate,maxdate,minwoadepth,maxwoadepth,minaou,maxaou,minnitrate,maxnitrate,mino2sat,maxo2sat,minoxygen,maxoxygen,minphosphate,maxphosphate,minsalinity,maxsalinity,minsilicate,maxsilicate,mintemperature,maxtemperature
588453,Pusillina lineolata,"(Michaud, 1832)",588453,3,3,3,3,1,39.9622,39.9622,23.9192,23.9192,-15,-15,30,40,1997-10-16 11:59:59.82+00,1998-01-16 11:59:59.82+00,30,50,-0.089,0.03,0.326,0.535,99.489,101.689,5.528,5.541,0.095,0.096,38.201,38.444,1.379,1.434,15.316,16.315
478040,Nerocila phaiopleura,"Bleeker, 1857",478040,13,,1,12,1,-29.8833,35.183,31,139.683,-227,2708,3,3,1857-07-02 11:59:59.82+00,1986-07-02 11:59:59.82+00,,,,,,,,,,,,,,,,,,
695812,Atherinella blackburni,"(Schultz, 1949)",695812,4,,,3,1,9.36667,12.1482,-79.9675,-71.967,-18,4,,,1979-07-02 11:59:59.82+00,1988-07-01 23:59:59.82+00,,,,,,,,,,,,,,,,,,
555543,Rosaster nannus,"Fisher, 1913",555543,5,5,5,5,1,5.38194,10.6306,120.185,120.262,1,17,62,99,1908-02-18 11:59:59.82+00,1909-04-08 11:59:59.82+00,50,100,0.242,2.378,1.17,16.055,53.538,94.983,2.57,4.418,0.124,0.856,34.215,34.345,0.993,18.633,23.108,27.198
796213,Thelepides venustus,"Levenstein, 1964",796213,6,4,5,1,1,-74.7697,-65.65,-13.9655,163.967,-110,1095,67,1047,1993-12-31 23:59:59.82+00,1993-12-31 23:59:59.82+00,1000,1000,3.177,3.177,30.803,30.803,59.907,59.907,4.757,4.757,2.12,2.12,34.681,34.681,112.051,112.051,0.444,0.444
769849,Goodallia,"Turton, 1822",769849,389,47,54,373,1,0,61.355,-9.957,24.97,-640,4935,0,165,1907-07-02 23:59:59.82+00,2003-07-02 11:59:59.82+00,0,150,-0.061,0.663,0.681,8.227,89.879,100.912,5.19,6.422,0.108,0.687,33.401,39.033,1.352,4.187,6.889,15.727
496326,Pontinus kuhlii,"(Bowdich, 1825)",496326,460,5,5,6,1,-5.8,47.7083,-28.6333,12.0833,-1064,3852,200,994,1967-05-02 11:59:59.82+00,2003-07-02 11:59:59.82+00,200,1000,0.732,3.943,7.303,25.75,33.96,87.433,2.043,5.086,0.391,1.574,35.414,36.146,2.835,10.558,9.497,15.777
484131,Pachycheles tomentosus,"Henderson, 1893",484131,1,,,1,1,12.1667,12.1667,53.3333,53.3333,138,138,,,1893-07-02 11:59:59.82+00,1893-07-02 11:59:59.82+00,,,,,,,,,,,,,,,,,,
744467,Dinoplax gigas,,744467,9,,,4,1,-34.3833,-34.0833,18.3167,21.4,-306,37,,,1961-07-16 11:59:59.82+00,1973-01-03 11:59:59.82+00,,,,,,,,,,,,,,,,,,
673327,Testudinella patina intermedia,(Anderson),673327,1,,,1,1,38.895,38.895,-77.0367,-77.0367,-26,-26,,,1913-07-02 11:59:59.82+00,1913-07-02 11:59:59.82+00,,,,,,,,,,,,,,,,,,
624026,Epeorus,"Eaton, 1881",624026,7,,,5,1,45.7,62.2208,-135.824,-65.6,-924,-33,,,1975-08-12 11:59:59.82+00,2001-10-22 11:59:59.82+00,,,,,,,,,,,,,,,,,,
532584,Aetideopsis inflata,"Park, 1978",532584,1,1,1,1,1,-63.875,-63.875,-135.067,-135.067,5155,5155,2560,2560,1965-04-01 11:59:59.82+00,1965-04-01 11:59:59.82+00,2500,2500,3.131,3.131,32.179,32.179,60.542,60.542,4.803,4.803,2.263,2.263,34.702,34.702,130.281,130.281,0.596,0.596
423623,Clathrina clathrus,"(Schmidt, 1864)",423623,15,,,14,1,42.7373,51.6594,-6.31938,16.0821,-35,167,,,1950-05-05 11:59:59.82+00,2007-09-17 11:59:59.82+00,,,,,,,,,,,,,,,,,,
407896,Atherinason hepsetoides,"(Richardson, 1843)",407896,28,,,27,1,-42.87,-32.05,136.58,151.28,-920,52,,,1909-07-02 11:59:59.82+00,1998-06-20 11:59:59.82+00,,,,,,,,,,,,,,,,,,
830699,Dermestes lanarius,,830699,1,,1,1,1,51.5204,51.5204,0.05935,0.05935,-3,-3,-3,-3,2002-11-30 11:59:59.82+00,2002-11-30 11:59:59.82+00,,,,,,,,,,,,,,,,,,
448377,Gonyaulax catenata,"(Levander) Kofoid, 1911",448377,104,76,100,104,1,-34.53,85.98,-155.083,158.63,1,4695,0,100,1936-09-06 11:59:59.82+00,1999-09-08 11:59:59.82+00,0,75,-0.38,1.434,0.729,5.97,82.792,104.533,5.041,9.158,0.145,0.716,17.94,39.027,1.19,38.478,-1.87,21.07
776763,Netuma,,776763,546,252,359,490,3,-33,27,39,152,-1855,2708,2.5,175,1837-07-02 11:59:59.82+00,2005-12-10 23:58:48+00,0,150,-0.041,3.134,0.048,19.358,36.708,100.787,1.748,4.701,0.078,1.518,32.886,37.794,1.067,19.483,20.221,28.491
794165,Metadynomene,"McLay, 1999",794165,84,72,79,18,2,-24.8187,21.3117,-173.91,179.97,-1,5710,208.5,830,1983-02-22 11:59:59.82+00,2004-10-09 11:59:59.82+00,200,800,1,4.642,4.131,28.848,24.224,81.818,1.227,4.576,0.553,2.066,34.241,35.476,2.939,44.247,6.066,17.087
